,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
174,Cyprus,Asia,166061.0,918100.0,1 Oct 2021,5.962889987391791,166.06K,918.10K
175,Cyprus,Asia,166061.0,382230.0,31 Dec 2019,5.582324770430004,166.06K,382.23K
176,Sao Tome and Principe,Africa,148748.0,214610.0,1 Jul 2021,5.331649954552743,148.75K,214.61K
177,St. Lucia,Americas,129438.0,178696.0,1 Jul 2018,5.252114831199711,129.44K,178.70K
178,Tonga,Oceania,104894.75,99532.0,1 Jul 2021,4.99796273088782,104.89K,99.53K
179,Samoa,Oceania,100591.0,199853.0,1 Jul 2021,5.300710671853901,100.59K,199.85K
181,Comoros,Africa,79975.0,758316.0,15 Dec 2017,5.879850219429004,79.97K,758.32K
182,Mauritius,Africa,61096.75,1266334.0,30 Jun 2021,6.102548267471208,61.10K,1.27M
183,Qatar,Asia,57696.0,2799202.0,31 Jul 2019,6.44703423977374,57.70K,2.80M
184,Palestine,Asia,57275.0,5227193.0,1 Jul 2021,6.718268535545922,57.27K,5.23M
185,Grenada,Americas,20920.14,113000.0,1 Jul 2021,5.05307844348342,20.92K,113.00K
186,Greenland,Americas,12938.0,56562.0,1 Jan 2022,4.752524757465067,12.94K,56.56K
187,Antigua and Barbuda,Americas,7000.0,99337.0,1 Jul 2021,4.997111040065091,7.00K,99.34K
188,Eritrea,Africa,5333.0,3601000.0,1 Jul 2021,6.556423121371285,5.33K,3.60M
189,Tuvalu,Oceania,4004.25,10679.0,1 Jul 2021,4.028530586511328,4.00K,10.68K
190,Kiribati,Oceania,3606.75,120740.0,1 Jul 2021,5.081851171517454,3.61K,120.74K
